"ind_ID","pot_ID","pot_number","sp","sp_group","Richness","CRichGroup","Group","Comp","mean_phydist","ABM","UBM","LTO","MLA","SLA","LDMC","SSD","Chl","Height","SRL","RD","RTD","SRA","Above_PC1","Above_PC2","Below_PC1","Below_PC2"
"CT-R1-G0-CG-181261","CT-R1-G0-CG-10",10,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,0.19,0.46,NA,NA,NA,NA,-0.275661124086484,NA,-1.0493989254556,1.43777877577815,-1.54731297208743,0.588074047008739,0.674694224485274,NA,NA,0.0114222060650816,1.67171204488849
"CT-R1-G0-CG-181262","CT-R1-G0-CG-10",10,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.33,1.1,NA,NA,NA,NA,0.956289140914077,NA,-0.662807927844519,-0.639183654175503,-0.286339082214086,1.0839956272731,-1.02503156590697,NA,NA,-1.14708488482129,0.058118993079896
"CT-R1-G0-CG-181197","CT-R1-G0-CG-2",2,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.09,0.49,0.983382314141547,-0.459936936077092,-1.07302069251486,1.15532203824251,1.14581994461591,1.16730519518999,-0.834626149004998,1.77972537303232,-1.69420644979356,0.455353388673257,0.982239429575504,-1.2501810043595,-0.780850322679698,0.24990940069935,1.89369683576815
"CT-R1-G0-CG-181198","CT-R1-G0-CG-2",2,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,1.9,1.52,1.08148904953315,-0.644817111451643,-0.992524805984918,0.960151652815176,1.0174281048979,2.33886318321811,-0.929739807147405,-0.426596792608365,-0.241382570287088,0.749051552552934,-0.696929053094424,-1.15405970443312,-1.22733136278593,-0.792365123806479,0.0716519546360968
"CT-R1-G0-CG-181199","CT-R1-G0-CG-2",2,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,1.4,0.78,1.50761854266579,-0.488944712582365,-0.813716187157284,1.1425164850376,2.28300479753089,0.554280666570623,-0.843830696567166,0.413636890467946,-0.690118452182923,0.360134896699444,0.0928084626525289,-1.50751755097172,-0.413353964686847,-0.176962422569092,0.654048705229148
"CT-R1-G0-CG-181200","CT-R1-G0-CG-2",2,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,0.94,0.12,1.13873721631913,-0.697031109107856,-0.552063165570191,0.451875386408712,1.43011616040332,-0.167726000469963,-1.00337618764475,0.959480664963243,-1.3903501834095,0.887812952819065,0.182650047211776,-1.03775766476284,-0.395164955125297,-0.413108091890564,1.41016778930242
"CT-R1-G0-CG-181201","CT-R1-G0-CG-2",2,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,4.18,1.17,1.38134940217648,-0.0476417130876391,-0.470292750969678,1.75111232769422,1.88936389123652,1.2217962644006,-0.37133058837585,-1.2233643790389,-0.145309497367996,1.62455284065284,-1.72061800451509,-1.33155244419692,-0.425764230429113,-1.8004303740668,-0.19957211960338
"CT-R1-G0-CG-181202","CT-R1-G0-CG-3",3,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,0.93,1.39,1.50184755774216,-0.469260864229987,-1.40518766832864,1.7356627156083,0.21811650955074,-1.32566122119543,-0.966557997396079,2.21842478930985,-1.69237028132223,-0.105777519485781,1.58876364679537,-1.5849607198103,-0.578669642663964,0.87179595826755,1.99731841366608
"CT-R1-G0-CG-181203","CT-R1-G0-CG-3",3,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,0.26,0.13,NA,NA,NA,NA,0.57722752327575,NA,-1.0095125526862,0.0756351890059846,-1.02323495162619,1.34226957789455,-0.672674730572073,NA,NA,-1.11205804676261,0.864783202675501
"CT-R1-G0-CG-181204","CT-R1-G0-CG-3",3,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,0.78,0.19,0.869116821794782,-0.86441781928126,-1.50586711334108,1.29225886865661,1.19751016473774,-0.263085371588531,-0.724171578258976,0.442798464534307,-0.714817879684317,0.362449981386661,0.111641855328124,-1.61140568716488,-0.298657774694015,-0.168642773632789,0.68238744317953
