"Compartment","Trait","PC1_loading","PC2_loading","PC1_PropVar","PC2_PropVar"
"Aboveground","LTO",-0.440466868694496,-0.725015074727234,0.365258381737919,0.296937324355755
"Aboveground","MLA",0.730631623543726,-0.112952280847137,0.365258381737919,0.296937324355755
"Aboveground","SLA",0.89536656843451,0.252583969074785,0.365258381737919,0.296937324355755
"Aboveground","LDMC",-0.865613914591575,0.174977377544411,0.365258381737919,0.296937324355755
"Aboveground","SSD",-0.509953935572542,0.623646692736036,0.365258381737919,0.296937324355755
"Aboveground","Chl",0.133766445335469,-0.610215539825215,0.365258381737919,0.296937324355755
"Aboveground","Height",-0.00773441125149789,0.82731024873944,0.365258381737919,0.296937324355755
"Belowground","SRL",0.578026516482899,0.813549158540699,0.523607961108932,0.469193499416858
"Belowground","RD",0.178735698872106,-0.980022457897281,0.523607961108932,0.469193499416858
"Belowground","RTD",-0.943213523017376,0.31666325481126,0.523607961108932,0.469193499416858
"Belowground","SRA",0.915816024441712,0.392673056593478,0.523607961108932,0.469193499416858
