"Predictor","Estimate","Std_Error","df","t_value","P_value"
"(Intercept)",-0.303547763028695,0.158717284153262,23.6740835638594,-1.91250603012827,0.0679846799330428
"log(Richness)",0.216537601925051,0.105145813251042,13.2769286928215,2.05940298743093,0.0596273627578845
"CompartmentBelowground",0.717622546291312,0.106360242346833,1194.04847587856,6.74709393714236,2.3460285931308e-11
"log(Richness):CompartmentBelowground",-0.424175424623415,0.0734776539469437,1194.04847580025,-5.77284932000824,9.92710403958272e-09
